iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
AFG,BFA,0,0,0,0,0,0,0,0,7497.5952,7497.5952,7464.209599403,7456.055882855118
AFG,BGD,0,0,0,0,0,0,0,0,2376.9783,2376.9783,2488.676088888741,2472.729070977432
AFG,BGR,0,0,0,0,0,0,0,0,4043.0049,4043.0049,3819.042931223488,3805.976513774346
AFG,BHR,0,0,0,0,0,0,0,0,2004.4336,2004.4336,1940.469818671417,1917.156700553782
AFG,BHS,0,0,0,0,0,0,0,0,12518.579,12518.579,12427.12292865829,12425.31779652535
AFG,BIH,0,0,0,0,0,0,0,0,4428.6143,4428.6143,4374.742946573258,4367.222385220572
AFG,BLR,0,0,0,0,0,0,0,0,3880.9001,3880.9001,3766.026549130344,3755.023173565023
AFG,BLZ,0,0,0,0,0,0,0,0,13822.816,13822.816,13714.66111570129,13713.02850436498
AFG,BMU,0,0,0,0,0,0,0,0,11177.655,11177.655,11089.69094721718,11087.73368187526
AFG,BOL,0,0,0,0,0,0,0,0,15349.948,15240.552,15100.64900866852,15096.34316328145
AFG,BRA,0,0,0,0,0,0,0,0,13771.763,13470.08,13223.75191775436,13180.01534468141
AFG,BRB,0,0,0,0,0,0,0,0,12465.547,12465.547,12371.20652496681,12369.00354868662
AFG,BRN,0,0,0,0,0,0,0,0,5741.1406,5741.1406,5823.19935595951,5818.071960584753
AFG,BTN,0,0,0,0,0,0,0,0,2103.501,2103.501,2231.291242376518,2215.839490422701
AFG,BWA,0,0,0,0,0,0,0,0,8023.7671,8023.7671,7847.091741608428,7838.708443024706
AFG,CAF,0,0,0,0,0,0,0,0,6188.3154,6188.3154,6083.534307504082,6071.669684818256
AFG,CAN,0,0,0,0,0,0,0,0,10768.887,10461.271,10516.29307956734,10508.32490912161
AFG,CCK,0,0,0,0,0,0,0,0,5992.4653,5992.4653,,
AFG,CHE,0,0,0,0,0,0,0,0,5247.0435,5247.0435,5136.084734688759,5129.577722523066
AFG,CHL,0,0,0,0,0,0,0,0,16353.896,16353.896,16262.2906936264,16257.02174004026
AFG,CHN,1,0,0,0,0,0,0,0,4180.4375,4180.4375,4434.382121147156,4369.99285414409
AFG,CIV,0,0,0,0,0,0,0,0,8144.624,8165.9507,8067.372395821762,8061.535679360848
AFG,CMR,0,0,0,0,0,0,0,0,6842.123,6842.123,6632.051302817154,6608.678596610923
AFG,COG,0,0,0,0,0,0,0,0,7100.583,7100.583,7110.931921916008,7100.182965119895
AFG,COK,0,0,0,0,0,0,0,0,15044.605,15044.605,15114.22949100799,15110.14554007606
AFG,COL,0,0,0,0,0,0,0,0,14288.693,14288.693,14072.28390748558,14065.929636554
AFG,COM,0,0,0,0,0,0,0,0,5824.4111,5824.4111,5802.082124846458,5796.582698794528
AFG,CPV,0,0,0,0,0,0,0,0,9324.5801,9324.5801,9225.148191569519,9221.142343473231
AFG,CRI,0,0,0,0,0,0,0,0,14334.572,14334.572,14260.46472859497,14258.96536174609
